title,description,date,source
Una 'España vaciada' es hermana gemela de grandes incendios forestales,"El bombero forestal Sergio Fidalgo analiza la magnitud de los incendios, la despoblación rural y la falta de medios, planteando las posibles salidas que eviten una tragedia peor cada verano.",14 sep. 2025 - 09:00,https://diariosocialista.net/2025/09/14/una-espana-vaciada-es-hermana-gemela-de-grandes-incendios-forestales/
"Si no contamos con un proyecto propio, todos los avances serán un regalo para otro",Luzía y Antón hablan sobre los primeros pasos y las perspectivas de la Coordinadora da Mocidade Socialista (CMS) en Galiza.,28 sep. 2025 - 08:00,https://diariosocialista.net/2025/09/28/si-no-contamos-con-un-proyecto-propio-todos-los-avances-seran-un-regalo-para-otro/
Tenemos la conciencia tranquila y la cabeza bien alta,Piden 60 años de cárcel y 45.000 euros de multa para 19 personas de Zaragoza por intentar parar un desahucio.,29 oct. 2025 - 14:49,https://diariosocialista.net/2025/10/29/tenemos-la-conciencia-tranquila-y-la-cabeza-bien-alta/
"El auge del fascismo no es casual ni fruto de 'grupos aislados', es la respuesta autoritaria del capitalismo a sus crisis internas","'Els 4 de València' hablan sobre el proceso judicial que enfrentan, con peticiones de condenas de hasta 14 años de cárcel y embargos de 7.800 euros: ""Llegamos al juicio con la cabeza alta, sin renunciar a nuestros posicionamientos y con la convicción de que no estamos solos"".",07 dic. 2025 - 08:00,https://diariosocialista.net/2025/12/07/el-auge-del-fascismo-no-es-casual-ni-fruto-de-grupos-aislados-es-la-respuesta-autoritaria-del-capitalismo-a-sus-crisis-internas/
Nuestra intención es construir un muro de contención contra el giro autoritario de los estados y el fascismo,"Gazte Koordinadora Sozialista (GKS) ha organizado movilizaciones para el 31 de enero en Bilbo e Iruñea. Nos hemos reunido con dos miembros de la organización, Marina Basurko y Danel Errazu, para hablar de las manifestaciones y, sobre todo, de sus retos políticos ante el auge del fascismo.",14 ene. 2026 - 12:08,https://diariosocialista.net/2026/01/14/nuestra-intencion-es-construir-un-muro-de-contencion-contra-el-giro-autoritario-de-los-estados-y-el-fascismo/
“Ahora mismo el antifascismo en los Estados Unidos es el movimiento anti-ICE”,El historiador estadounidense exiliado Mark Bray habla sobre los profundos cambios que atraviesa la política interna en EE.UU. y los recientes acontecimientos en Minneapolis.,27 ene. 2026 - 11:00,https://diariosocialista.net/2026/01/27/ahora-mismo-el-antifascismo-en-los-estados-unidos-es-el-movimiento-anti-ice/
"La Fiscalía pide 51 años a un guardia civil por extorsión, robos y abusos en la Cañada Real","Una mafia policial usó bases de datos oficiales para chantajear con 500 euros semanales a vecinos, robaron cocaína y relojes de lujo, y acumularon chalecos y mascarillas de dotación en sus casas.",30 ene. 2026 - 08:00,https://diariosocialista.net/2026/01/30/la-fiscalia-pide-51-anos-a-un-guardia-civil-por-extorsion-robos-y-abusos-en-la-canada-real/
La OMS retira al Estado español de la lista de países libres de sarampión,"El desplome de la vacunación provoca que se haya ""reestablecido la transmisión endémica"" tras multiplicarse por 28 los casos confirmados en un año.",30 ene. 2026 - 11:00,https://diariosocialista.net/2026/01/30/la-oms-retira-al-estado-espanol-de-la-lista-de-paises-libres-de-sarampion/
"Un teniente de la Guardia Civil, detenido en València por agresión sexual y maltrato",La jueza lo deja en libertad con tobillera GPS tras ser investigado por tres agresiones sexuales y malos tratos a su expareja.,31 ene. 2026 - 11:00,https://diariosocialista.net/2026/01/31/un-teniente-de-la-guardia-civil-detenido-en-valencia-por-agresion-sexual-y-maltrato/
Un hombre asesina a su expareja en Mos y se suicida tras huir y atrincherarse en O Porriño,"Hallaron el cuerpo sin vida del hombre horas después del crimen; la mujer, de 52 años, no figuraba en el sistema VioGen y eleva a seis los feminicidios registrados en lo que va de 2026.",02 feb. 2026 - 08:00,https://diariosocialista.net/2026/02/02/un-hombre-asesina-a-su-expareja-en-mos-y-se-suicida-tras-huir-y-atrincherarse-en-o-porrino/
Ratifican la condena a un guardia civil por amenazar y agredir a su exmujer con un arma,"El alto tribunal confirma la expulsión del agente maltratador tras una condena firme de tres años y nueve meses de prisión por agredir, patear y encañonar su expareja en Ávila.",02 feb. 2026 - 11:00,https://diariosocialista.net/2026/02/02/ratifican-la-condena-a-un-guardia-civil-por-amenazar-y-agredir-a-su-exmujer-con-un-arma/
Un alto mando de la Ertzaintza condenado por robar una multa sigue en el cargo,"Condenan a prisión por malversación al jefe de operaciones de Durango, anteriormente detenido por narcotráfico; al menos 4 ertzainas han sido detenidos por drogas en los últimos 5 años.",02 feb. 2026 - 17:02,https://diariosocialista.net/2026/02/02/un-alto-mando-de-la-ertzaintza-condenado-por-robar-una-multa-sigue-en-el-cargo/
